application_id,applicant_name,email,phone,state,zip_code,credit_score,num_credit_accounts,credit_history_months,delinquencies_2y,public_records,inquiries_6m,income,total_debt,monthly_debt_payment,total_credit_limit,total_credit_balance,employment_status,employment_length_months,occupation,loan_amount,loan_purpose,loan_term_months,avg_monthly_balance,num_bank_accounts,has_savings_account,monthly_income_deposits,num_nsf_fees,application_date,referral_source,probability_of_default,default,debt_to_income,credit_utilization,payment_to_income
1,Allison Hill,silvapreston@example.org,001-211-370-0524x59609,KS,59291,729,2,55,0,0,0,86797.92,155109.46,535.85,46433.44,8438.43,Employed,38,"Merchandiser, retail",43791.1,home_improvement,12,13014.69,1,True,11024.58,0,2025-09-10 14:37:33.237791,organic,0.3139516135529755,0,2.291536018374634,0.18173174332980713,0.07408242040823099
2,Noah Rhodes,kathleenellis@example.com,(271)472-0984,MS,43754,691,2,137,0,0,0,27514.6,21768.65,1905.55,92224.12,24087.76,Self-Employed,2,Early years teacher,6830.12,debt_consolidation,36,17019.26,1,False,8813.86,0,2025-07-09 14:37:33.237801,paid_search,0.2574404962579106,0,1.0394034439897364,0.26118720352116126,0.8310715038561346
3,Angie Henderson,jeffrey20@example.com,909.343.1521x199,HI,80491,738,7,26,0,0,1,44556.5,10934.51,1563.74,68504.43,32728.07,Unemployed,4,"Scientist, clinical (histocompatibility and immunogenetics)",13665.76,other,36,12984.68,5,False,3604.64,0,2025-10-04 14:37:33.237804,organic,0.21769302437248242,0,0.5521140574326978,0.4777511468966314,0.4211479806537767
4,Daniel Wagner,cbradley@example.org,886.625.6156x3688,IN,59009,791,5,27,0,0,0,75279.0,12144.63,2206.84,63428.69,46820.04,Self-Employed,30,"Presenter, broadcasting",42362.89,auto,12,18881.66,0,True,4787.37,0,2025-12-04 14:37:33.237805,direct,0.0933547941269538,0,0.7240733803584001,0.7381524039042899,0.3517857569840195
5,Cristian Santos,rhonda97@example.org,+1-565-804-5696x06285,SD,48189,685,8,5,1,0,0,94302.66,18193.39,2952.59,67929.56,40535.03,Employed,0,Early years teacher,10516.5,business,12,3339.29,0,False,12100.94,0,2025-10-04 14:37:33.237806,organic,0.2369466003213692,0,0.30444411642259084,0.5967215156406136,0.37571665528840864
6,Connie Lawrence,michael79@example.org,001-774-692-8187x11363,AR,50634,685,7,25,0,0,1,65249.67,9933.71,1460.23,84715.88,36127.74,Self-Employed,33,Toxicologist,17686.62,business,36,17506.0,0,True,5773.97,0,2025-08-11 14:37:33.237808,paid_search,0.13921751545173167,0,0.42330221746715346,0.4264577078110975,0.2685494041579061
7,Abigail Shaffer,kaylaburns@example.org,813.631.1270,TN,10588,794,5,82,3,0,1,42737.68,28296.81,2921.39,10204.4,15474.08,Employed,72,Fisheries officer,38468.63,debt_consolidation,24,12856.07,2,False,13112.33,0,2025-08-05 14:37:33.237809,paid_search,0.28257587877926477,1,1.562214888594795,1.5164125279291287,0.820275691146548
8,Gina Moore,wilsonmatthew@example.net,547-283-9904x97910,WY,43610,746,4,111,0,0,1,75927.53,56862.77,315.45,20891.39,45091.15,Employed,12,Records manager,18332.46,debt_consolidation,24,18085.01,3,True,10841.34,0,2025-11-05 14:37:33.237810,organic,0.10910491912192179,0,0.9903552769331493,2.158360453756308,0.04985543451762489
9,Gabrielle Davis,basssteven@example.com,001-933-879-9161x8502,ME,09071,671,3,76,0,0,2,50735.62,19234.65,1815.85,26504.57,24550.29,Employed,14,Printmaker,32256.69,debt_consolidation,60,18652.43,4,False,3494.58,0,2025-06-27 14:37:33.237811,organic,0.1806258334128297,0,1.014895255049608,0.926266300490821,0.4294852413353773
10,Ryan Munoz,colleenwhite@example.com,806.344.0930x577,MS,81412,732,9,0,0,1,1,180141.52,34926.89,2516.53,25163.38,5112.35,Employed,62,"Scientist, research (life sciences)",11118.17,other,12,3181.14,1,False,4580.48,0,2025-06-17 14:37:33.237812,paid_search,0.12392370002428016,0,0.25560492661547435,0.2031662678066301,0.16763686683669596
11,Monica Herrera,montoyabrenda@example.net,506-792-6005x4286,NY,34024,672,4,7,0,0,2,65607.34,57996.43,772.29,54889.43,6669.45,Employed,87,Museum/gallery curator,31112.22,auto,24,3241.75,1,False,11916.15,0,2025-11-03 14:37:33.237812,paid_search,0.2136220517010588,0,1.3582115964463732,0.12150700052815268,0.14125675572275906
12,Jamie Arnold,richard88@example.net,540.488.5174x4441,MH,90520,672,8,78,1,0,2,26228.37,15114.59,1645.96,33710.52,2291.13,Self-Employed,15,Public relations account executive,9425.89,home_improvement,24,14841.13,1,True,3665.66,0,2025-11-07 14:37:33.237813,paid_search,0.2964874362492563,0,0.9356464012060224,0.06796483708943085,0.7530593780703871
13,Lisa Hensley,cwebster@example.net,882-335-5263x73380,AZ,63801,714,4,171,0,0,1,46931.96,112071.17,2491.32,40045.44,18658.15,Employed,12,Private music teacher,8877.62,home_improvement,24,16141.83,0,True,5386.26,0,2025-08-26 14:37:33.237814,organic,0.31301956494431366,0,2.5771092875729034,0.4659244598136517,0.6370038668745137
14,Michele Williams,emily73@example.com,879.598.9043x8100,CA,74616,585,2,71,1,0,0,38213.6,151960.61,1587.24,52180.99,19760.28,Employed,23,"Production assistant, television",28561.59,auto,36,3052.43,3,True,2709.0,0,2025-09-13 14:37:33.237815,organic,0.8,0,4.724030188205246,0.378687334218841,0.4984319718634204
15,Dylan Miller,edowns@example.net,605-295-0761,PW,31470,596,2,15,1,0,4,29913.17,82974.9,1839.44,55681.5,19121.55,Self-Employed,2,"Scientist, forensic",12265.11,debt_consolidation,48,16233.69,3,True,12429.9,0,2025-06-25 14:37:33.237816,organic,0.8,1,3.183882216428416,0.3434093909108052,0.7379117626115854
