application_id,applicant_name,email,phone,state,zip_code,credit_score,num_credit_accounts,credit_history_months,delinquencies_2y,public_records,inquiries_6m,income,total_debt,monthly_debt_payment,total_credit_limit,total_credit_balance,employment_status,employment_length_months,occupation,loan_amount,loan_purpose,loan_term_months,avg_monthly_balance,num_bank_accounts,has_savings_account,monthly_income_deposits,num_nsf_fees,application_date,referral_source,probability_of_default_x,default,debt_to_income,credit_utilization,payment_to_income,interest_rate,monthly_payment,probability_of_default_y,expected_loss,expected_return,risk_segment
1,Allison Hill,silvapreston@example.org,001-211-370-0524x59609,KS,59291,729,2,55,0,0,0,86797.92,155109.46,535.85,46433.44,8438.43,Employed,38,"Merchandiser, retail",43791.1,home_improvement,12,13014.69,1,True,11024.58,0,2025-09-10 14:37:33.237791,organic,0.3139516135529755,0,2.291536018374634,0.1817317433298071,0.0740824204082309,0.1494984322204956,3951.474430185349,0.09874608055123901,1729.6797952109453,0.09,Medium-Low Risk
2,Noah Rhodes,kathleenellis@example.com,(271)472-0984,MS,43754,691,2,137,0,0,0,27514.6,21768.65,1905.55,92224.12,24087.76,Self-Employed,2,Early years teacher,6830.12,debt_consolidation,36,17019.26,1,False,8813.86,0,2025-07-09 14:37:33.237801,paid_search,0.2574404962579106,0,1.0394034439897364,0.2611872035211612,0.8310715038561346,0.1393674095934522,233.2275166597075,0.07341852398363051,200.58293161242977,0.09,Medium-Low Risk
3,Angie Henderson,jeffrey20@example.com,909.343.1521x199,HI,80491,738,7,26,0,0,1,44556.5,10934.51,1563.74,68504.43,32728.07,Unemployed,4,"Scientist, clinical (histocompatibility and immunogenetics)",13665.76,other,36,12984.68,5,False,3604.64,0,2025-10-04 14:37:33.237804,organic,0.2176930243724824,0,0.5521140574326978,0.4777511468966314,0.4211479806537767,0.13235044242703087,462.00211200269223,0.05587610606757712,305.4357821016211,0.09000000000000001,Medium-Low Risk
4,Daniel Wagner,cbradley@example.org,886.625.6156x3688,IN,59009,791,5,27,0,0,0,75279.0,12144.63,2206.84,63428.69,46820.04,Self-Employed,30,"Presenter, broadcasting",42362.89,auto,12,18881.66,0,True,4787.37,0,2025-12-04 14:37:33.237805,direct,0.0933547941269538,0,0.7240733803584001,0.7381524039042899,0.3517857569840195,0.1098962935214336,3743.897554835863,0.017240733803584003,292.1469238562043,0.08299999999999999,Low Risk
5,Cristian Santos,rhonda97@example.org,+1-565-804-5696x06285,SD,48189,685,8,5,1,0,0,94302.66,18193.39,2952.59,67929.56,40535.03,Employed,0,Early years teacher,10516.5,business,12,3339.29,0,False,12100.94,0,2025-10-04 14:37:33.237806,organic,0.2369466003213692,0,0.3044441164225908,0.5967215156406136,0.3757166552884086,0.13347999409560662,941.0230118663936,0.05869998523901658,246.92735790644716,0.08999999999999998,Medium-Low Risk
6,Connie Lawrence,michael79@example.org,001-774-692-8187x11363,AR,50634,685,7,25,0,0,1,65249.67,9933.71,1460.23,84715.88,36127.74,Self-Employed,33,Toxicologist,17686.62,business,36,17506.0,0,True,5773.97,0,2025-08-11 14:37:33.237808,paid_search,0.1392175154517316,0,0.4233022174671534,0.4264577078110975,0.2685494041579061,0.12707962660960584,593.4473101868766,0.0426990665240146,302.0808655859869,0.09,Medium-Low Risk
8,Gina Moore,wilsonmatthew@example.net,547-283-9904x97910,WY,43610,746,4,111,0,0,1,75927.53,56862.77,315.45,20891.39,45091.15,Employed,12,Records manager,18332.46,debt_consolidation,24,18085.01,3,True,10841.34,0,2025-11-05 14:37:33.237810,organic,0.1091049191219217,0,0.9903552769331492,2.158360453756308,0.0498554345176248,0.1179614211077326,861.2283268112611,0.019903552769331496,145.95243400066354,0.09,Low Risk
9,Gabrielle Davis,basssteven@example.com,001-933-879-9161x8502,ME,9071,671,3,76,0,0,2,50735.62,19234.65,1815.85,26504.57,24550.29,Employed,14,Printmaker,32256.69,debt_consolidation,60,18652.43,4,False,3494.58,0,2025-06-27 14:37:33.237811,organic,0.1806258334128297,0,1.014895255049608,0.926266300490821,0.4294852413353773,0.1341787430605953,740.857415398086,0.060446857651488245,779.9262194952737,0.09,Medium-High Risk
10,Ryan Munoz,colleenwhite@example.com,806.344.0930x577,MS,81412,732,9,0,0,1,1,180141.52,34926.89,2516.53,25163.38,5112.35,Employed,62,"Scientist, research (life sciences)",11118.17,other,12,3181.14,1,False,4580.48,0,2025-06-17 14:37:33.237812,paid_search,0.1239237000242801,0,0.2556049266154743,0.2031662678066301,0.1676368668366959,0.1250672591193857,990.4734454321567,0.037668147798464224,167.5203483233804,0.09000000000000001,Medium-Low Risk
11,Monica Herrera,montoyabrenda@example.net,506-792-6005x4286,NY,34024,672,4,7,0,0,2,65607.34,57996.43,772.29,54889.43,6669.45,Employed,87,Museum/gallery curator,31112.22,auto,24,3241.75,1,False,11916.15,0,2025-11-03 14:37:33.237812,paid_search,0.2136220517010588,0,1.3582115964463732,0.1215070005281526,0.141256755722759,0.13829853915735646,1491.2878248476914,0.07074634789339118,880.4303759422892,0.08999999999999998,Medium-High Risk
12,Jamie Arnold,richard88@example.net,540.488.5174x4441,MH,90520,672,8,78,1,0,2,26228.37,15114.59,1645.96,33710.52,2291.13,Self-Employed,15,Public relations account executive,9425.89,home_improvement,24,14841.13,1,True,3665.66,0,2025-11-07 14:37:33.237813,paid_search,0.2964874362492563,0,0.9356464012060224,0.0679648370894308,0.7530593780703871,0.13903469601809032,452.13443285970885,0.07258674004522583,273.67785084995745,0.08999999999999998,Medium-High Risk
13,Lisa Hensley,cwebster@example.net,882-335-5263x73380,AZ,63801,714,4,171,0,0,1,46931.96,112071.17,2491.32,40045.44,18658.15,Employed,12,Private music teacher,8877.62,home_improvement,24,16141.83,0,True,5386.26,0,2025-08-26 14:37:33.237814,organic,0.3130195649443136,0,2.577109287572904,0.4659244598136517,0.6370038668745137,0.15292531145087485,431.68092447265843,0.10731327862718709,381.0746034425155,0.09000000000000001,Medium-Low Risk
14,Michele Williams,emily73@example.com,879.598.9043x8100,CA,74616,585,2,71,1,0,0,38213.6,151960.61,1587.24,52180.99,19760.28,Employed,23,"Production assistant, television",28561.59,auto,36,3052.43,3,True,2709.0,0,2025-09-13 14:37:33.237815,organic,0.8,0,4.724030188205246,0.378687334218841,0.4984319718634204,0.3400000000000001,1275.8997782717238,0.5,5712.318,0.12000000000000006,High Risk
18,Derek Zuniga,edwardfoster@example.com,+1-568-850-9894x79398,FM,59452,718,5,6,1,0,1,39468.47,38891.11,221.47,32184.22,32406.42,Employed,22,Youth worker,7411.79,auto,60,19090.15,5,True,7268.16,0,2025-10-26 14:37:33.237818,direct,0.3680727159354656,0,1.1731617668483223,1.0069040045090418,0.0673357746069204,0.14259742650272483,173.45908698556474,0.08149356625681209,241.60527977863094,0.08999999999999998,Medium-Low Risk
19,Lisa Jackson,wdyer@example.com,469-406-1096x033,NV,77064,645,6,9,0,0,0,68578.75,32499.42,1632.83,63714.18,9150.87,Self-Employed,101,Information officer,15496.38,home_improvement,36,19956.87,2,True,4828.57,0,2025-10-29 14:37:33.237819,organic,0.3518883228839831,0,0.6998640249348376,0.1436237584788817,0.2857147439986876,0.1943956487979148,571.4854648902201,0.13598912199478702,842.935644119031,0.11999999999999998,Medium-High Risk
20,Carla Gray,zstokes@example.com,+1-238-722-3537x55727,PA,33375,615,3,54,0,0,2,68688.22,137985.61,1528.95,40104.74,46794.29,Employed,65,Chartered management accountant,49395.85,home_improvement,36,12056.59,4,False,11746.73,0,2025-10-17 14:37:33.237820,organic,0.8,0,2.7279999394364856,1.1668019790179416,0.2671113038014379,0.3400000000000001,2206.6052367022744,0.5,9879.17,0.12000000000000006,High Risk
21,Margaret Hawkins DDS,april66@example.net,+1-825-701-8872x069,NV,31276,787,5,12,1,0,0,53616.57,15484.4,437.8,96174.4,45266.08,Employed,8,"Editor, film/video",21943.45,auto,24,2192.01,0,True,11635.98,0,2025-08-07 14:37:33.237821,organic,0.1322236085765757,0,0.6980649825231267,0.4706666223028166,0.0979846342278142,0.11318838989513876,1025.9880612596367,0.025470974737846895,223.5684242444826,0.08299999999999999,Low Risk
22,Patty Perez,lori47@example.net,001-577-967-7887x13084,AS,5305,686,8,15,1,0,2,58809.36,10540.37,843.37,91819.89,13494.59,Employed,57,Emergency planning/management officer,27627.34,debt_consolidation,12,1021.43,5,False,7865.09,1,2025-11-22 14:37:33.237821,organic,0.2834132159993971,0,0.6490074029032114,0.1469680479904735,0.1720889327821285,0.13473511104354818,2473.7404839222563,0.06183777760887042,683.3653227378601,0.09000000000000001,Medium-Low Risk
23,Ethan Adams,baileymeagan@example.net,(800)866-3295,OR,95341,704,4,9,0,0,2,148121.71,136101.3,2234.8,78386.68,31667.52,Unemployed,4,"Engineer, broadcasting (operations)",39986.58,home_improvement,48,16921.92,1,True,5213.45,1,2025-09-08 14:37:33.237822,affiliate,0.3069538223754827,0,1.1888053412291826,0.4039910862406725,0.18105110992845,0.14151879691370023,1095.741258946416,0.07879699228425056,1260.3288942934273,0.09,Medium-Low Risk
25,Matthew Foster,deborah24@example.org,2033814043,GU,43914,667,1,8,0,0,2,65584.83,22493.25,670.52,97369.91,14125.72,Employed,16,"Engineer, civil (contracting)",15785.64,debt_consolidation,12,13001.93,3,True,4101.07,0,2025-06-12 14:37:33.237824,organic,0.3572023612357775,0,0.5836546347684365,0.1450727437254486,0.1226844683442802,0.16067694831258997,1432.750393909057,0.12669237078147494,799.9680623611529,0.08999999999999998,Medium-High Risk
26,Judy Baker,john72@example.net,(731)650-0583x534,GA,69014,706,5,160,1,0,2,65908.38,11613.41,2886.76,22800.04,28890.1,Employed,65,Food technologist,47621.9,other,48,11598.73,1,True,4244.37,0,2025-09-16 14:37:33.237825,paid_search,0.3163106172233613,0,0.8987523286113237,1.2671074261273223,0.5255950760737861,0.13848128492916983,1297.713635892116,0.07120321232292463,1356.332902768434,0.08999999999999998,Medium-Low Risk
